"unitid","institution name","year","SAL2019_NIS_RV.Full-time non-instructional staff - number"
"100937","Birmingham-Southern College","2019","193"
"101435","Huntingdon College","2019","135"
"101453","Heritage Christian University","2019","22"
"101912","Oakwood University","2019","186"
"102234","Spring Hill College","2019","116"
"102298","Talladega College","2019","114"
"104586","Embry-Riddle Aeronautical University-Prescott","2019","305"
"105899","Arizona Christian University","2019","110"
"106342","Lyon College","2019","141"
"107080","Hendrix College","2019","258"
"107141","John Brown University","2019","235"
"107512","Ouachita Baptist University","2019","177"
"107600","Philander Smith University","2019","105"
"107877","Williams Baptist University","2019","75"
"109651","Art Center College of Design","2019","304"
"110370","California College of the Arts","2019","269"
"112084","San Diego Christian College","2019","47"
"112260","Claremont McKenna College","2019","289"
"114813","Fresno Pacific University","2019","290"
"117104","Life Pacific University","2019","42"
"117168","Laguna College of Art and Design","2019","53"
"118693","Menlo College","2019","94"
"118888","Northeastern University Oakland","2019","234"
"120254","Occidental College","2019","510"
"120403","Otis College of Art and Design","2019","198"
"120768","Pacific Oaks College","2019","65"
"120838","Pacific States University","2019","7"
"120865","Pacific Union College","2019","123"
"122506","San Francisco Conservatory of Music","2019","62"
"122728","William Jessup University","2019","163"
"123280","Shasta Bible College and Graduate School","2019","2"
"123457","Simpson University","2019","58"
"123651","Vanguard University of Southern California","2019","162"
"123952","Southern California Institute of Architecture","2019","60"
"125763","Whittier College","2019","241"
"125897","Woodbury University","2019","80"
"126678","Colorado College","2019","627"
"127653","Naropa University","2019","130"
"128498","Albertus Magnus College","2019","164"
"129534","Holy Apostles College and Seminary","2019","23"
"130590","Trinity College","2019","420"
"131876","Trinity Washington University","2019","108"
"132408","Baptist University of Florida","2019","33"
"132602","Bethune-Cookman University","2019","251"
"133526","Edward Waters University","2019","126"
"133711","Flagler College","2019","241"
"133979","Florida Memorial University","2019","144"
"134510","Hobe Sound Bible College","2019","23"
"135610","Trinity International University-Florida","2019","10"
"137272","St. John Vianney College Seminary","2019","22"
"137777","Talmudic College of Florida","2019","35"
"137953","Trinity Baptist College","2019","21"
"138275","Warner University","2019","112"
"138293","Webber International University","2019","105"
"138600","Agnes Scott College","2019","238"
"138868","Point University","2019","103"
"139144","Berry College","2019","355"
"139205","Brewton-Parker College","2019","61"
"139393","Covenant College","2019","136"
"139630","Emmanuel University","2019","100"
"140234","LaGrange College","2019","113"
"140696","Oglethorpe University","2019","108"
"140872","Reinhardt University","2019","124"
"140951","Savannah College of Art and Design","2019","1045"
"140988","Shorter University","2019","139"
"141167","Thomas University","2019","81"
"141185","Toccoa Falls College","2019","78"
"141237","Truett McConnell University","2019","98"
"141325","Wesleyan College","2019","88"
"141361","Young Harris College","2019","94"
"142294","The College of Idaho","2019","132"
"143048","School of the Art Institute of Chicago","2019","424"
"143084","Augustana College","2019","350"
"144281","Columbia College Chicago","2019","486"
"145372","Greenville University","2019","108"
"145691","Illinois College","2019","173"
"146481","Lake Forest College","2019","174"
"147129","Methodist College","2019","45"
"148131","Quincy University","2019","99"
"148405","Rockford University","2019","111"
"148627","Saint Xavier University","2019","269"
"149329","Telshe Yeshiva-Chicago","2019","17"
"149505","Trinity Christian College","2019","113"
"149639","VanderCook College of Music","2019","12"
"150145","Bethel University","2019","128"
"150172","Calumet College of Saint Joseph","2019","51"
"150455","Earlham College","2019","210"
"150604","Franklin College","2019","173"
"151810","Martin University","2019","29"
"152318","Rose-Hulman Institute of Technology","2019","336"
"152530","Taylor University","2019","254"
"153001","Buena Vista University","2019","203"
"153162","Cornell College","2019","176"
"153250","Dordt University","2019","132"
"153375","Grand View University","2019","154"
"153825","Loras College","2019","210"
"153977","Mercy College of Health Sciences","2019","54"
"154101","Northwestern College","2019","123"
"154350","Simpson College","2019","140"
"154493","Upper Iowa University","2019","282"
"154527","Wartburg College","2019","238"
"154590","William Penn University","2019","90"
"154712","Benedictine College","2019","177"
"154855","Central Christian College of Kansas","2019","43"
"155070","Barclay College","2019","24"
"155308","Kansas Christian College","2019","17"
"155414","Kansas Wesleyan University","2019","105"
"155511","McPherson College","2019","96"
"155520","MidAmerica Nazarene University","2019","168"
"155937","Sterling College","2019","77"
"155973","Tabor College","2019","93"
"156213","Asbury University","2019","209"
"156356","Brescia University","2019","89"
"156417","Clear Creek Baptist Bible College","2019","21"
"156745","Georgetown College","2019","162"
"157100","Kentucky Christian University","2019","62"
"157377","Midway University","2019","83"
"157809","Thomas More University","2019","103"
"157863","Union College","2019","140"
"158477","Centenary College of Louisiana","2019","99"
"158802","Dillard University","2019","228"
"159568","Louisiana Christian University","2019","84"
"160959","College of the Atlantic","2019","62"
"161509","Maine College of Art & Design","2019","61"
"161518","Saint Joseph's College of Maine","2019","188"
"161563","Thomas College","2019","106"
"161572","Unity Environmental University","2019","172"
"162210","Washington Adventist University","2019","97"
"162654","Goucher College","2019","287"
"163295","Maryland Institute College of Art","2019","328"
