"unitid","institution name","year","DRVEF122020_RV.Total 12-month unduplicated headcount","SAL2020_NIS_RV.Full-time non-instructional staff - number"
"100937","Birmingham-Southern College","2020","1237","177"
"101435","Huntingdon College","2020","1109","123"
"101453","Heritage Christian University","2020","131","23"
"101912","Oakwood University","2020","1662","194"
"102234","Spring Hill College","2020","1425","131"
"102298","Talladega College","2020","1347","105"
"104586","Embry-Riddle Aeronautical University-Prescott","2020","3114","312"
"105899","Arizona Christian University","2020","986","113"
"106342","Lyon College","2020","708","124"
"107080","Hendrix College","2020","1135","248"
"107141","John Brown University","2020","2749","214"
"107512","Ouachita Baptist University","2020","1747","188"
"107600","Philander Smith University","2020","1121","96"
"107877","Williams Baptist University","2020","573","76"
"109651","Art Center College of Design","2020","3064","307"
"110370","California College of the Arts","2020","1957","269"
"112084","San Diego Christian College","2020","711","56"
"112260","Claremont McKenna College","2020","1361","269"
"114813","Fresno Pacific University","2020","5103","272"
"117104","Life Pacific University","2020","650","46"
"117168","Laguna College of Art and Design","2020","875","53"
"118693","Menlo College","2020","935","74"
"118888","Northeastern University Oakland","2020","1286","222"
"120254","Occidental College","2020","2104","439"
"120403","Otis College of Art and Design","2020","1362","205"
"120768","Pacific Oaks College","2020","1648","66"
"120838","Pacific States University","2020","45","6"
"120865","Pacific Union College","2020","1182","120"
"122506","San Francisco Conservatory of Music","2020","445","62"
"122728","William Jessup University","2020","2596","168"
"123280","Shasta Bible College and Graduate School","2020","60","2"
"123457","Simpson University","2020","1062","85"
"123651","Vanguard University of Southern California","2020","2562","158"
"123952","Southern California Institute of Architecture","2020","630","60"
"125763","Whittier College","2020","1937","185"
"125897","Woodbury University","2020","1389","79"
"126678","Colorado College","2020","2332","577"
"127653","Naropa University","2020","994","119"
"128498","Albertus Magnus College","2020","1793","136"
"129534","Holy Apostles College and Seminary","2020","854","23"
"130590","Trinity College","2020","2372","388"
"131876","Trinity Washington University","2020","2033","90"
"132408","Baptist University of Florida","2020","501","31"
"132602","Bethune-Cookman University","2020","3221","246"
"133526","Edward Waters University","2020","3298","97"
"133711","Flagler College","2020","3104","239"
"133979","Florida Memorial University","2020","1331","169"
"134510","Hobe Sound Bible College","2020","277","22"
"135610","Trinity International University-Florida","2020","259","8"
"137272","St. John Vianney College Seminary","2020","70","27"
"137777","Talmudic College of Florida","2020","33","34"
"137953","Trinity Baptist College","2020","406","22"
"138275","Warner University","2020","1192","106"
"138293","Webber International University","2020","797","96"
"138600","Agnes Scott College","2020","1166","227"
"138868","Point University","2020","2829","98"
"139144","Berry College","2020","2228","346"
"139205","Brewton-Parker College","2020","1037","69"
"139393","Covenant College","2020","1029","129"
"139630","Emmanuel University","2020","1037","101"
"140234","LaGrange College","2020","1145","94"
"140696","Oglethorpe University","2020","1851","103"
"140872","Reinhardt University","2020","1672","104"
"140951","Savannah College of Art and Design","2020","16748","984"
"140988","Shorter University","2020","1781","121"
"141167","Thomas University","2020","2051","70"
"141185","Toccoa Falls College","2020","2412","80"
"141237","Truett McConnell University","2020","3491","111"
"141325","Wesleyan College","2020","990","90"
"141361","Young Harris College","2020","1650","94"
"142294","The College of Idaho","2020","1149","120"
"143048","School of the Art Institute of Chicago","2020","3862","350"
"143084","Augustana College","2020","2611","334"
"144281","Columbia College Chicago","2020","7668","472"
"145372","Greenville University","2020","1304","102"
"145691","Illinois College","2020","1115","173"
"146481","Lake Forest College","2020","1723","175"
"147129","Methodist College","2020","803","47"
"148131","Quincy University","2020","1503","94"
"148405","Rockford University","2020","1597","99"
"148627","Saint Xavier University","2020","4138","261"
