"unitid","institution name","year","SAL2021_NIS_RV.Full-time non-instructional staff - number","DRVEF122021_RV.Total 12-month unduplicated headcount"
"100937","Birmingham-Southern College","2021","175","1192"
"101435","Huntingdon College","2021","112","995"
"101453","Heritage Christian University","2021","26","150"
"101912","Oakwood University","2021","158","1970"
"102234","Spring Hill College","2021","103","1322"
"102298","Talladega College","2021","117","1398"
"104586","Embry-Riddle Aeronautical University-Prescott","2021","307","3207"
"105899","Arizona Christian University","2021","122","1076"
"106342","Lyon College","2021","111","688"
"107080","Hendrix College","2021","241","1103"
"107141","John Brown University","2021","216","2791"
"107512","Ouachita Baptist University","2021","185","1817"
"107600","Philander Smith University","2021","89","991"
"107877","Williams Baptist University","2021","75","671"
"109651","Art Center College of Design","2021","324","3050"
"110370","California College of the Arts","2021","262","1777"
"112084","San Diego Christian College","2021","36","615"
"112260","Claremont McKenna College","2021","252","1331"
"114813","Fresno Pacific University","2021","273","4398"
"117104","Life Pacific University","2021","54","683"
"117168","Laguna College of Art and Design","2021","57","823"
"118693","Menlo College","2021","95","856"
"118888","Northeastern University Oakland","2021","211","1092"
"120254","Occidental College","2021","458","1934"
"120403","Otis College of Art and Design","2021","169","1237"
"120768","Pacific Oaks College","2021","65","1654"
"120838","Pacific States University","2021","5","31"
"120865","Pacific Union College","2021","113","1228"
"122506","San Francisco Conservatory of Music","2021","70","413"
"122728","William Jessup University","2021","180","2772"
"123280","Shasta Bible College and Graduate School","2021","2","59"
"123457","Simpson University","2021","95","1244"
"123651","Vanguard University of Southern California","2021","152","2621"
"123952","Southern California Institute of Architecture","2021","63","604"
"125763","Whittier College","2021","196","1639"
"125897","Woodbury University","2021","106","1232"
"126678","Colorado College","2021","548","2154"
"127653","Naropa University","2021","127","997"
"128498","Albertus Magnus College","2021","137","1719"
"129534","Holy Apostles College and Seminary","2021","22","996"
"130590","Trinity College","2021","372","2319"
"131876","Trinity Washington University","2021","83","2197"
"132408","Baptist University of Florida","2021","28","487"
"132602","Bethune-Cookman University","2021","245","3040"
