"unitid","institution name","year","DRVEF122022_RV.Total 12-month unduplicated headcount","SAL2022_NIS.Full-time non-instructional staff - number","DRVOM2022_RV.Percent full-time first-time receiving an award - 4 years","DRVOM2022_RV.Percent full-time first-time receiving an award - 6 years","DRVOM2022_RV.Percent full-time first-time receiving an award - 8 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 4 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 6 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 8 years"
"100937","Birmingham-Southern College","2022","1105","168","72","72","72",,,
"101435","Huntingdon College","2022","901","119","31","41","41",,,
"101453","Heritage Christian University","2022","163","28","0","0","0",,,
"101912","Oakwood University","2022","1639","167","27","50","51",,,
"102234","Spring Hill College","2022","1317","127","47","58","60","0","0","0"
"102298","Talladega College","2022","1410","119","12","26","27","3","11","11"
"104586","Embry-Riddle Aeronautical University-Prescott","2022","3265","355","37","58","60","0","50","50"
"105899","Arizona Christian University","2022","1110","115","38","45","45","0","0","0"
"106342","Lyon College","2022","595","111","38","43","43",,,
"107080","Hendrix College","2022","1138","260","62","65","66",,,
"107141","John Brown University","2022","2845","220","56","65","67",,,
"107512","Ouachita Baptist University","2022","1894","185","55","60","61","0","0","0"
"107600","Philander Smith University","2022","797","94","23","32","34","0","17","33"
"107877","Williams Baptist University","2022","677","80","34","39","39","20","60","100"
"109651","Art Center College of Design","2022","3016","341","31","69","74",,,
"110370","California College of the Arts","2022","1770","254","52","68","68",,,
"112084","San Diego Christian College","2022","619","30","27","46","72","0","100","100"
"112260","Claremont McKenna College","2022","1433","352","81","92","93",,,
"114813","Fresno Pacific University","2022","4120","269","54","66","67","67","67","67"
"117104","Life Pacific University","2022","620","48","45","50","53","0","0","0"
"117168","Laguna College of Art and Design","2022","806","50","41","63","64","0","0","0"
"118693","Menlo College","2022","846","111","44","53","55","50","50","50"
"118888","Northeastern University Oakland","2022",,,,,,,,
"120254","Occidental College","2022","2024","483","77","83","84",,,
"120403","Otis College of Art and Design","2022","1310","183","63","70","73",,,
"120768","Pacific Oaks College","2022","1637","49",,,,,,
"120838","Pacific States University","2022","41","8","0","0","0",,,
"120865","Pacific Union College","2022","1018","111","29","54","55","0","0","0"
"122506","San Francisco Conservatory of Music","2022","452","80","69","72","72",,,
"122728","William Jessup University","2022","2316","177","50","54","54","50","50","50"
"123280","Shasta Bible College and Graduate School","2022","55","1","25","75","100","0","0","0"
"123457","Simpson University","2022","1127","90","42","50","50","90","90","90"
"123651","Vanguard University of Southern California","2022","2514","166","57","62","63","33","33","33"
"123952","Southern California Institute of Architecture","2022","642","62","26","76","85",,,
"125763","Whittier College","2022","1453","188","59","64","64","0","0","0"
"125897","Woodbury University","2022","1098","105","34","61","65","0","0","0"
"126678","Colorado College","2022","2472","557","80","87","88",,,
"127653","Naropa University","2022","1091","121","15","33","33","0","0","0"
"128498","Albertus Magnus College","2022","1684","131","40","48","48","12","16","20"
"129534","Holy Apostles College and Seminary","2022","955","20",,,,,,
"130590","Trinity College","2022","2240","377","78","82","83","50","50","50"
"131876","Trinity Washington University","2022","2111","82","22","44","47","11","14","23"
"132408","Baptist University of Florida","2022","523","31","23","50","53","0","25","25"
"132602","Bethune-Cookman University","2022","2886","227","13","32","36","0","0","0"
"133526","Edward Waters University","2022","1347","99","14","23","23",,,
"133711","Flagler College","2022","2815","286","47","58","58","0","0","0"
"133979","Florida Memorial University","2022","1171","144","26","34","39","18","48","58"
"134510","Hobe Sound Bible College","2022","256","18","15","29","32","0","0","0"
"135610","Trinity International University-Florida","2022","175","7",,,,"0","11","11"
"137272","St. John Vianney College Seminary","2022","52","20","91","94","94",,,
"137777","Talmudic College of Florida","2022","34","19","55","55","55",,,
"137953","Trinity Baptist College","2022","490","24","25","31","31","0","0","0"
