"unitid","institution name","year","DRVIC2022.Tuition and fees, 2022-23"
"100937","Birmingham-Southern College","2022","21250"
"101435","Huntingdon College","2022","28350"
"101453","Heritage Christian University","2022","11632"
"101912","Oakwood University","2022","20040"
"102234","Spring Hill College","2022","21732"
"102298","Talladega College","2022","13866"
"104586","Embry-Riddle Aeronautical University-Prescott","2022","40464"
"105899","Arizona Christian University","2022","31650"
"106342","Lyon College","2022","31000"
"107080","Hendrix College","2022","35100"
"107141","John Brown University","2022","29720"
"107512","Ouachita Baptist University","2022","31180"
"107600","Philander Smith University","2022","13014"
"107877","Williams Baptist University","2022","19450"
"109651","Art Center College of Design","2022","49942"
"110370","California College of the Arts","2022","54706"
"112084","San Diego Christian College","2022","26300"
"112260","Claremont McKenna College","2022","60715"
"114813","Fresno Pacific University","2022","34188"
"117104","Life Pacific University","2022","19140"
"117168","Laguna College of Art and Design","2022","34600"
"118693","Menlo College","2022","49090"
"118888","Northeastern University Oakland","2022",
"120254","Occidental College","2022","60566"
"120403","Otis College of Art and Design","2022","52460"
"120768","Pacific Oaks College","2022","11692"
"120838","Pacific States University","2022","7530"
"120865","Pacific Union College","2022","33678"
"122506","San Francisco Conservatory of Music","2022","52800"
"122728","William Jessup University","2022","37150"
"123280","Shasta Bible College and Graduate School","2022","14460"
"123457","Simpson University","2022","37480"
"123651","Vanguard University of Southern California","2022","38700"
"123952","Southern California Institute of Architecture","2022","50690"
"125763","Whittier College","2022","49864"
"125897","Woodbury University","2022","44908"
"126678","Colorado College","2022","65028"
"127653","Naropa University","2022","34600"
"128498","Albertus Magnus College","2022","37682"
"129534","Holy Apostles College and Seminary","2022","9440"
"130590","Trinity College","2022","63930"
"131876","Trinity Washington University","2022","25610"
"132408","Baptist University of Florida","2022","12450"
"132602","Bethune-Cookman University","2022","14794"
"133526","Edward Waters University","2022","14878"
"133711","Flagler College","2022","23760"
"133979","Florida Memorial University","2022","16836"
"134510","Hobe Sound Bible College","2022","7960"
"135610","Trinity International University-Florida","2022","14160"
"137272","St. John Vianney College Seminary","2022","23100"
"137777","Talmudic College of Florida","2022","15250"
"137953","Trinity Baptist College","2022","14300"
"138275","Warner University","2022","28044"
"138293","Webber International University","2022","30798"
"138600","Agnes Scott College","2022","45786"
"138868","Point University","2022","22300"
"139144","Berry College","2022","39376"
"139205","Brewton-Parker College","2022","21696"
"139393","Covenant College","2022","38860"
"139630","Emmanuel University","2022","22924"
"140234","LaGrange College","2022","33700"
"140696","Oglethorpe University","2022","43990"
"140872","Reinhardt University","2022","27300"
"140951","Savannah College of Art and Design","2022","39605"
"140988","Shorter University","2022","22810"
"141167","Thomas University","2022","11080"
"141185","Toccoa Falls College","2022","22350"
"141237","Truett McConnell University","2022","24440"
"141325","Wesleyan College","2022","27650"
"141361","Young Harris College","2022","30905"
"142294","The College of Idaho","2022","34630"
"143048","School of the Art Institute of Chicago","2022","54530"
"143084","Augustana College","2022","47916"
"144281","Columbia College Chicago","2022","31026"
"145372","Greenville University","2022","30548"
"145691","Illinois College","2022","36346"
"146481","Lake Forest College","2022","52902"
"147129","Methodist College","2022","18008"
"148131","Quincy University","2022","31940"
"148405","Rockford University","2022","35050"
"148627","Saint Xavier University","2022","35770"
"149329","Telshe Yeshiva-Chicago","2022","16000"
"149505","Trinity Christian College","2022","34325"
"149639","VanderCook College of Music","2022","29800"
"150145","Bethel University","2022","32040"
"150172","Calumet College of Saint Joseph","2022","21650"
"150455","Earlham College","2022","50058"
"150604","Franklin College","2022","36136"
"151810","Martin University","2022","13200"
"152318","Rose-Hulman Institute of Technology","2022","54602"
"152530","Taylor University","2022","37476"
"153001","Buena Vista University","2022","38644"
"153162","Cornell College","2022","49158"
"153250","Dordt University","2022","34600"
"153375","Grand View University","2022","32068"
"153825","Loras College","2022","36570"
"153977","Mercy College of Health Sciences","2022","16632"
"154101","Northwestern College","2022","34250"
"154350","Simpson College","2022","45108"
"154493","Upper Iowa University","2022","33639"
"154527","Wartburg College","2022","49190"
"154590","William Penn University","2022","27800"
"154712","Benedictine College","2022","33720"
"154855","Central Christian College of Kansas","2022","20650"
"155070","Barclay College","2022","24990"
"155308","Kansas Christian College","2022","9570"
"155414","Kansas Wesleyan University","2022","32470"
"155511","McPherson College","2022","33536"
"155520","MidAmerica Nazarene University","2022","34832"
"155937","Sterling College","2022","30000"
"155973","Tabor College","2022","35050"
"156213","Asbury University","2022","33146"
"156356","Brescia University","2022","27950"
"156417","Clear Creek Baptist Bible College","2022","9970"
"156745","Georgetown College","2022","41600"
"157100","Kentucky Christian University","2022","23700"
"157377","Midway University","2022","25050"
"157809","Thomas More University","2022","35810"
"157863","Union College","2022","30946"
"158477","Centenary College of Louisiana","2022","38820"
"158802","Dillard University","2022","20224"
"159568","Louisiana Christian University","2022","19720"
"160959","College of the Atlantic","2022","44829"
"161509","Maine College of Art & Design","2022","39830"
"161518","Saint Joseph's College of Maine","2022","41586"
"161563","Thomas College","2022","29996"
"161572","Unity Environmental University","2022","12640"
"162210","Washington Adventist University","2022","25200"
"162654","Goucher College","2022","49220"
"163295","Maryland Institute College of Art","2022","53815"
"163462","Mount St. Mary's University","2022","45870"
"163976","St. John's College","2022","37260"
"164270","McDaniel College","2022","46800"
"164368","Hult International Business School","2022","50825"
"164492","Anna Maria College","2022","41010"
"164562","Assumption University","2022","47508"
"164580","Babson College","2022","54944"
"164748","Berklee College of Music","2022","48330"
"164872","Boston Architectural College","2022","22144"
"165529","Curry College","2022","44920"
"165644","Eastern Nazarene College","2022","27990"
"165662","Emerson College","2022","53232"
"165671","Emmanuel College","2022","44908"
"165802","Fisher College","2022","34150"
"165936","Gordon College","2022","27040"
"166054","Hellenic College-Holy Cross Greek Orthodox School of Theology","2022","22490"
"166391","Lasell University","2022","42630"
"166850","Merrimack College","2022","49196"
"166939","Mount Holyoke College","2022","58498"
"167260","Nichols College","2022","38800"
"167996","Stonehill College","2022","52000"
"168227","Wentworth Institute of Technology","2022","38760"
"168342","Williams College","2022","61770"
"168528","Adrian College","2022","39596"
"168591","Alma College","2022","45616"
"168786","Aquinas College","2022","37280"
"169080","Calvin University","2022","38620"
"169327","Cleary University","2022","23629"
"169363","Concordia University Ann Arbor","2022","32982"
"169442","College for Creative Studies","2022","49435"
"169479","Davenport University","2022","22244"
"169983","Kettering University","2022","44380"
"170000","Grace Christian University","2022","14520"
"170967","Rochester University","2022","26736"
"171599","The University of Olivet","2022","32006"
"171881","Kuyper College","2022","25370"
"172033","Sacred Heart Major Seminary","2022","22277"
"172264","Siena Heights University","2022","29044"
