"unitid","institution name","year","EF2022D.Full-time retention rate, 2022","EF2022D.Part-time retention rate, 2022","EF2022D.Student-to-faculty ratio"
"100937","Birmingham-Southern College","2022","77",,"10"
"101435","Huntingdon College","2022","65",,"14"
"101453","Heritage Christian University","2022","100",,"8"
"101912","Oakwood University","2022","77","50","11"
"102234","Spring Hill College","2022","81","0","12"
"102298","Talladega College","2022","76","100","22"
"104586","Embry-Riddle Aeronautical University-Prescott","2022","78","60","18"
"105899","Arizona Christian University","2022","60","55","15"
"106342","Lyon College","2022","51",,"9"
"107080","Hendrix College","2022","79",,"11"
"107141","John Brown University","2022","84","50","15"
"107512","Ouachita Baptist University","2022","79",,"12"
"107600","Philander Smith University","2022","72",,"11"
"107877","Williams Baptist University","2022","58",,"16"
"109651","Art Center College of Design","2022","86",,"8"
"110370","California College of the Arts","2022","78",,"7"
"112084","San Diego Christian College","2022","60","100","11"
"112260","Claremont McKenna College","2022","96",,"8"
"114813","Fresno Pacific University","2022","75","0","10"
"117104","Life Pacific University","2022","69","75","12"
"117168","Laguna College of Art and Design","2022","79","100","9"
"118693","Menlo College","2022","71",,"15"
"118888","Northeastern University Oakland","2022",,,
"120254","Occidental College","2022","89",,"9"
"120403","Otis College of Art and Design","2022","76","50","9"
"120768","Pacific Oaks College","2022",,"0","4"
"120838","Pacific States University","2022",,,"7"
"120865","Pacific Union College","2022","75","0","13"
"122506","San Francisco Conservatory of Music","2022","90",,"3"
"122728","William Jessup University","2022","67","17","11"
"123280","Shasta Bible College and Graduate School","2022","0",,"3"
"123457","Simpson University","2022","65",,"13"
"123651","Vanguard University of Southern California","2022","72","100","16"
"123952","Southern California Institute of Architecture","2022","77",,"15"
"125763","Whittier College","2022","70","0","10"
"125897","Woodbury University","2022","71","0","8"
"126678","Colorado College","2022","91",,"10"
"127653","Naropa University","2022","59","50","9"
"128498","Albertus Magnus College","2022","70",,"15"
"129534","Holy Apostles College and Seminary","2022","36","60","8"
"130590","Trinity College","2022","90","100","8"
"131876","Trinity Washington University","2022","69","52","12"
"132408","Baptist University of Florida","2022","74","100","8"
"132602","Bethune-Cookman University","2022","51","25","15"
"133526","Edward Waters University","2022","59","36","17"
"133711","Flagler College","2022","69",,"14"
"133979","Florida Memorial University","2022","54","67","15"
"134510","Hobe Sound Bible College","2022","71","75","6"
"135610","Trinity International University-Florida","2022",,"100","3"
"137272","St. John Vianney College Seminary","2022","100",,"4"
"137777","Talmudic College of Florida","2022","70",,"4"
"137953","Trinity Baptist College","2022","51","0","10"
"138275","Warner University","2022","46",,"13"
"138293","Webber International University","2022","67","25","24"
"138600","Agnes Scott College","2022","79",,"11"
"138868","Point University","2022","69","58","13"
"139144","Berry College","2022","83",,"12"
"139205","Brewton-Parker College","2022","41","88","15"
"139393","Covenant College","2022","77","31","12"
"139630","Emmanuel University","2022","65","0","12"
"140234","LaGrange College","2022","62","0","11"
"140696","Oglethorpe University","2022","76",,"16"
"140872","Reinhardt University","2022","57","50","12"
"140951","Savannah College of Art and Design","2022","81","58","20"
"140988","Shorter University","2022","72",,"15"
"141167","Thomas University","2022","36","33","12"
"141185","Toccoa Falls College","2022","60","22","17"
"141237","Truett McConnell University","2022","69","0","16"
"141325","Wesleyan College","2022","63",,"7"
"141361","Young Harris College","2022","68","0","11"
"142294","The College of Idaho","2022","76",,"10"
"143048","School of the Art Institute of Chicago","2022","79","40","11"
"143084","Augustana College","2022","81",,"11"
"144281","Columbia College Chicago","2022","67","13","15"
"145372","Greenville University","2022","76",,"12"
"145691","Illinois College","2022","73",,"12"
"146481","Lake Forest College","2022","85","100","12"
"147129","Methodist College","2022","100","50","7"
"148131","Quincy University","2022","69",,"14"
"148405","Rockford University","2022","64",,"10"
"148627","Saint Xavier University","2022","71","33","15"
"149329","Telshe Yeshiva-Chicago","2022","79",,"13"
"149505","Trinity Christian College","2022","77","0","10"
"149639","VanderCook College of Music","2022","80",,"4"
"150145","Bethel University","2022","71","33","12"
"150172","Calumet College of Saint Joseph","2022","61","33","11"
"150455","Earlham College","2022","80",,"6"
"150604","Franklin College","2022","72","100","11"
"151810","Martin University","2022","67","44","6"
"152318","Rose-Hulman Institute of Technology","2022","92",,"12"
"152530","Taylor University","2022","91",,"13"
"153001","Buena Vista University","2022","76",,"12"
"153162","Cornell College","2022","80",,"13"
"153250","Dordt University","2022","80",,"14"
"153375","Grand View University","2022","69","0","12"
"153825","Loras College","2022","77",,"12"
"153977","Mercy College of Health Sciences","2022","67","0","8"
