"unitid","institution name","year","OM2022.Cohort category","OM2022_RV.Adjusted 2014-15 cohort","IDX_OM"
"100937","Birmingham-Southern College","2022","Total entering, Total","386","-2"
"101435","Huntingdon College","2022","Total entering, Total","489","-2"
"101453","Heritage Christian University","2022","Total entering, Total","15","-2"
"101912","Oakwood University","2022","Total entering, Total","489","-2"
"102234","Spring Hill College","2022","Total entering, Total","457","-2"
"102298","Talladega College","2022","Total entering, Total","366","-2"
"104586","Embry-Riddle Aeronautical University-Prescott","2022","Total entering, Total","669","-2"
"105899","Arizona Christian University","2022","Total entering, Total","292","-2"
"106342","Lyon College","2022","Total entering, Total","315","-2"
"107080","Hendrix College","2022","Total entering, Total","352","-2"
"107141","John Brown University","2022","Total entering, Total","591","-2"
"107512","Ouachita Baptist University","2022","Total entering, Total","497","-2"
"107600","Philander Smith University","2022","Total entering, Total","194","-2"
"107877","Williams Baptist University","2022","Total entering, Total","247","-2"
"109651","Art Center College of Design","2022","Total entering, Total","563","-2"
"110370","California College of the Arts","2022","Total entering, Total","457","-2"
"112084","San Diego Christian College","2022","Total entering, Total","352","-2"
"112260","Claremont McKenna College","2022","Total entering, Total","346","-2"
"114813","Fresno Pacific University","2022","Total entering, Total","907","-2"
"117104","Life Pacific University","2022","Total entering, Total","212","-2"
"117168","Laguna College of Art and Design","2022","Total entering, Total","175","-2"
"118693","Menlo College","2022","Total entering, Total","311","-2"
"120254","Occidental College","2022","Total entering, Total","599","-2"
"120403","Otis College of Art and Design","2022","Total entering, Total","401","-2"
"120768","Pacific Oaks College","2022","Total entering, Total","306","-2"
"120838","Pacific States University","2022","Total entering, Total","3","-2"
"120865","Pacific Union College","2022","Total entering, Total","537","-2"
"122506","San Francisco Conservatory of Music","2022","Total entering, Total","50","-2"
"122728","William Jessup University","2022","Total entering, Total","503","-2"
"123280","Shasta Bible College and Graduate School","2022","Total entering, Total","17","-2"
"123457","Simpson University","2022","Total entering, Total","452","-2"
"123651","Vanguard University of Southern California","2022","Total entering, Total","567","-2"
"123952","Southern California Institute of Architecture","2022","Total entering, Total","60","-2"
"125763","Whittier College","2022","Total entering, Total","508","-2"
"125897","Woodbury University","2022","Total entering, Total","375","-2"
"126678","Colorado College","2022","Total entering, Total","619","-2"
"127653","Naropa University","2022","Total entering, Total","216","-2"
"128498","Albertus Magnus College","2022","Total entering, Total","427","-2"
"129534","Holy Apostles College and Seminary","2022","Total entering, Total","24","-2"
"130590","Trinity College","2022","Total entering, Total","653","-2"
"131876","Trinity Washington University","2022","Total entering, Total","591","-2"
"132408","Baptist University of Florida","2022","Total entering, Total","135","-2"
"132602","Bethune-Cookman University","2022","Total entering, Total","1295","-2"
"133526","Edward Waters University","2022","Total entering, Total","302","-2"
"133711","Flagler College","2022","Total entering, Total","985","-2"
"133979","Florida Memorial University","2022","Total entering, Total","622","-2"
"134510","Hobe Sound Bible College","2022","Total entering, Total","46","-2"
"135610","Trinity International University-Florida","2022","Total entering, Total","53","-2"
"137272","St. John Vianney College Seminary","2022","Total entering, Total","40","-2"
"137777","Talmudic College of Florida","2022","Total entering, Total","17","-2"
"137953","Trinity Baptist College","2022","Total entering, Total","194","-2"
"138275","Warner University","2022","Total entering, Total","436","-2"
"138293","Webber International University","2022","Total entering, Total","264","-2"
"138600","Agnes Scott College","2022","Total entering, Total","245","-2"
"138868","Point University","2022","Total entering, Total","582","-2"
"139144","Berry College","2022","Total entering, Total","618","-2"
"139205","Brewton-Parker College","2022","Total entering, Total","188","-2"
"139393","Covenant College","2022","Total entering, Total","316","-2"
"139630","Emmanuel University","2022","Total entering, Total","303","-2"
"140234","LaGrange College","2022","Total entering, Total","369","-2"
"140696","Oglethorpe University","2022","Total entering, Total","469","-2"
"140872","Reinhardt University","2022","Total entering, Total","473","-2"
