UnitID,Institution Name,Total expenses-Total amount (F2122_F2),Total expenses-Total amount (F2021_F2),Total expenses-Total amount (F1920_F2),Total expenses-Total amount (F1819_F2),
168528,Adrian College,55764907,45596196,49318030,50202398,
138600,Agnes Scott College,60434922,53764237,59508095,59745704,
128498,Albertus Magnus College,34642886,33521802,32016824,30322333,
210571,Albright College,57741285,53458377,49316735,50449715,
168591,Alma College,53751057,47646882,49337235,51583304,
164492,Anna Maria College,32083389,29215594,27627245,27289195,
237136,Appalachian Bible College,6136824,5059129,5183506,5804316,
168786,Aquinas College,38514715,35885435,37896066,37569782,
105899,Arizona Christian University,26135093,26342226,21301937,20117377,
222877,Arlington Baptist University,3390379,2845425,2745018,3306006,
201061,Art Academy of Cincinnati,6642343,5925944,5077529,5157752,
109651,Art Center College of Design,115796000,100843000,110049000,105328000,
156213,Asbury University,39054220,37392410,36448824,37974268,
164562,Assumption University,72234337,66790374,67021746,69010433,
143084,Augustana College,76302012,74344804,74037835,76883342,
222983,Austin College,45087886,41989302,43708543,46723631,
231420,Averett University,39887142,33458825,28387646,27379273,
176628,Avila University,30261837,26940218,28049098,28482742,
164580,Babson College,218717217,204983530,211204829,217622252,
201195,Baldwin Wallace University,103606772,96239180,105602320,102254607,
223117,Baptist Missionary Association Theological Seminary,1406434,1505012,1534160,1628521,
132408,Baptist University of Florida,6780176,6234637,6090186,6531161,
444398,Baptist University of the Americas,2808339,2885985,3146331,3399883,
155070,Barclay College,9562471,8767942,8690189,8789286,
197911,Barton College,32553295,29603231,28665135,28906633,
197984,Belmont Abbey College,42886532,38314302,33350174,32258554,
217721,Benedict College,49532071,42973091,48876882,47849233,
154712,Benedictine College,63554183,54440974,53877604,53339460,
230816,Bennington College,48558731,43238406,44953449,42848765,
164748,Berklee College of Music,296438111,242588064,280456664,276056365,
139144,Berry College,106444385,95921736,92782947,95389187,
237181,Bethany College,25332533,23773729,23922679,25258378,
486284,Bethany Global University,15962859,14210973,14249823,13162887,
173142,Bethany Lutheran College,21852563,19697018,20223622,19356728,
150145,Bethel University,30089737,28226407,26404796,29260412,
219718,Bethel University,38954921,40105372,43125765,48902137,
132602,Bethune-Cookman University,89726829,69011366,80528346,92403963,
100937,Birmingham-Southern College,70999109,41417929,44619283,45928718,
