UnitID,Institution Name,Student-to-faculty ratio (EF2022D),Student-to-faculty ratio (EF2021D),Student-to-faculty ratio (EF2020D),Student-to-faculty ratio (EF2019D),
168528,Adrian College,16,15,14,13,
138600,Agnes Scott College,11,12,11,10,
128498,Albertus Magnus College,15,14,14,14,
210571,Albright College,9,11,12,14,
168591,Alma College,14,13,13,12,
164492,Anna Maria College,12,13,12,12,
237136,Appalachian Bible College,9,7,7,9,
168786,Aquinas College,11,10,11,10,
105899,Arizona Christian University,15,18,12,15,
222877,Arlington Baptist University,18,18,14,9,
201061,Art Academy of Cincinnati,11,9,9,9,
109651,Art Center College of Design,8,8,8,8,
156213,Asbury University,11,14,12,10,
164562,Assumption University,11,12,13,12,
143084,Augustana College,11,11,11,11,
222983,Austin College,11,11,12,12,
231420,Averett University,12,12,12,17,
176628,Avila University,10,10,12,12,
164580,Babson College,16,16,14,14,
201195,Baldwin Wallace University,9,11,11,11,
223117,Baptist Missionary Association Theological Seminary,4,3,2,3,
132408,Baptist University of Florida,8,9,8,8,
444398,Baptist University of the Americas,10,10,10,10,
155070,Barclay College,7,9,11,12,
197911,Barton College,13,13,13,12,
197984,Belmont Abbey College,12,14,15,16,
217721,Benedict College,17,18,18,20,
154712,Benedictine College,14,13,13,14,
230816,Bennington College,9,10,8,10,
164748,Berklee College of Music,10,10,9,10,
139144,Berry College,12,12,12,11,
237181,Bethany College,12,12,11,10,
486284,Bethany Global University,16,27,19,15,
173142,Bethany Lutheran College,12,12,11,12,
150145,Bethel University,12,11,11,11,
219718,Bethel University,17,13,15,15,
132602,Bethune-Cookman University,15,15,15,14,
100937,Birmingham-Southern College,10,10,10,11,
183822,Bloomfield College,13,14,15,15,
175430,Blue Mountain Christian University,14,21,17,16,
231554,Bluefield University,15,14,14,14,
201371,Bluffton University,11,12,12,11,
189413,Boricua College,20,20,20,20,
164872,Boston Architectural College,5,5,5,5,
156356,Brescia University,9,12,11,13,
198066,Brevard College,10,10,11,11,
139205,Brewton-Parker College,15,18,16,18,
497408,Bridges Christian College,7,,,,
231581,Bridgewater College,13,13,13,13,
217165,Bryant University,13,13,13,13,
210492,Bryn Athyn College of the New Church,8,6,8,6,
211291,Bucknell University,9,9,9,9,
153001,Buena Vista University,12,11,10,7,
209409,Bushnell University,12,13,15,15,
215114,Cairn University-Langhorne,11,12,11,11,
110370,California College of the Arts,7,8,8,8,
150172,Calumet College of Saint Joseph,11,12,12,12,
169080,Calvin University,12,12,12,12,
189705,Canisius University,11,12,11,11,
461032,Carolina College of Biblical Studies,4,4,6,7,
180106,Carroll College,12,11,11,12,
238476,Carthage College,13,13,13,12,
198215,Catawba College,11,11,12,12,
475398,Catholic Distance University,3,3,4,4,
158477,Centenary College of Louisiana,8,8,9,9,
154855,Central Christian College of Kansas,14,16,17,16,
176910,Central Christian College of the Bible,9,8,8,11,
445267,Central Methodist University-College of Graduate and Extended Studies,19,18,16,17,
189857,Central Yeshiva Tomchei Tmimim Lubavitz,30,31,30,37,
230852,Champlain College,14,13,14,15,
198303,Chowan University,16,16,16,16,
219833,Christian Brothers University,9,11,11,11,
457697,City Vision University,7,7,7,7,
217873,Claflin University,13,13,13,13,
112260,Claremont McKenna College,8,8,8,8,
156417,Clear Creek Baptist Bible College,10,10,9,10,
169327,Cleary University,13,18,17,18,
190099,Colgate University,9,9,9,9,
169442,College for Creative Studies,10,10,10,10,
160959,College of the Atlantic,10,10,10,10,
126678,Colorado College,10,9,9,10,
177065,Columbia College,20,20,23,23,
217934,Columbia College,11,11,12,11,
144281,Columbia College Chicago,15,14,14,14,
202170,Columbus College of Art & Design,10,10,10,9,
173300,Concordia College at Moorhead,12,12,11,11,
169363,Concordia University Ann Arbor,11,10,10,11,
180984,Concordia University-Nebraska,12,14,14,14,
153162,Cornell College,13,12,12,12,
139393,Covenant College,12,11,12,12,
475608,Criswell College,5,5,7,8,
174862,Crown College,17,17,16,15,
177144,Culver-Stockton College,14,14,14,14,
219949,Cumberland University,16,17,17,16,
165529,Curry College,12,12,12,12,
211893,Curtis Institute of Music,2,2,2,2,
219091,Dakota Wesleyan University,12,12,12,12,
224244,Dallas Christian College,13,12,9,10,
169479,Davenport University,16,15,13,13,
202514,Defiance College,10,11,12,9,
212009,Dickinson College,9,9,8,9,
158802,Dillard University,13,13,14,13,
153250,Dordt University,14,14,14,14,
177214,Drury University,12,12,13,12,
150455,Earlham College,6,7,8,7,
224527,East Texas Baptist University,14,14,14,14,
165644,Eastern Nazarene College,9,10,10,10,
446233,Ecclesia College,10,10,10,10,
133526,Edward Waters University,17,22,17,23,
190983,Elmira College,7,8,10,10,
104586,Embry-Riddle Aeronautical University-Prescott,18,17,18,17,
426314,Embry-Riddle Aeronautical University-Worldwide,19,22,20,19,
165662,Emerson College,15,13,13,15,
165671,Emmanuel College,13,13,13,13,
139630,Emmanuel University,12,15,15,15,
385619,Everglades University,17,16,16,18,
232089,Ferrum College,11,12,13,13,
165802,Fisher College,11,12,11,14,
220181,Fisk University,12,15,14,12,
133711,Flagler College,14,15,16,16,
480569,Florida Institute of Technology-Online,14,18,20,17,
133979,Florida Memorial University,15,15,13,13,
