UnitID,Institution Name,Tuition and fees - Total (F2122_F2),Total revenues and investment return - Total (F2122_F2),Net total revenues  after assets released from restriction - Total (F2122_F2),Tuition and fees - Total (F2021_F2),Total revenues and investment return - Total (F2021_F2),Net total revenues  after assets released from restriction - Total (F2021_F2),Tuition and fees - Total (F1920_F2),Total revenues and investment return - Total (F1920_F2),Net total revenues  after assets released from restriction - Total (F1920_F2),Tuition and fees - Total (F1819_F2),Total revenues and investment return - Total (F1819_F2),Net total revenues  after assets released from restriction - Total (F1819_F2),
168528,Adrian College,21928117,52281041,52281041,22040657,50647760,50647760,22102081,49137841,49137841,23069717,50581448,50581448,
138600,Agnes Scott College,16347043,58393219,58393219,18144022,94464230,94464230,15316077,55188797,55188797,13976827,49384260,49384260,
128498,Albertus Magnus College,18707760,20718585,20718585,19725981,42767444,42767444,17816291,29285934,29285934,18032435,26067414,26067414,
210571,Albright College,15633514,43306569,43306569,19329076,64158402,64158402,21216753,40373720,40373720,25311624,50390292,50390292,
168591,Alma College,18892494,30017658,30017658,20580646,81866898,81866898,21043106,52009507,52009507,21096844,50509883,50509883,
164492,Anna Maria College,17286501,31364508,31364508,18365630,33133669,33133669,17170623,26027386,26027386,17951018,26654269,26654269,
237136,Appalachian Bible College,1190396,6529749,6529749,1208102,6763977,6763977,1253574,5476296,5476296,1402173,5689231,5689231,
168786,Aquinas College,16717853,27170821,27170821,18290063,48071403,48071403,20102254,34890847,34890847,19117409,35425714,35425714,
105899,Arizona Christian University,12225727,24297200,24297200,10950732,29854312,29854312,9578834,16673882,16673882,8021783,36569637,36569637,
222877,Arlington Baptist University,2361397,3776404,3776404,1929435,3714475,3714475,1828596,2854528,2854528,1931616,2899860,2899860,
201061,Art Academy of Cincinnati,4628186,5875650,5875650,4483693,7115211,7115211,4351325,6006461,6006461,3793858,5009876,5009876,
109651,Art Center College of Design,106145000,96586000,96586000,90189000,138386000,138386000,100676000,114431000,114431000,96107000,112042000,112042000,
156213,Asbury University,18371494,39945739,39945739,20058475,66763560,66763560,21998504,34238244,34238244,22877681,42655767,42655767,
164562,Assumption University,38428363,74122994,74122994,38783026,66806546,66806546,38052576,70313272,70313272,37244833,69723568,69723568,
